Observable variable/alias used,Times Used,Line start,Line end,Filename
Error,1,140,140,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,1,176,176,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,1,177,177,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,1,178,178,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,1,216,216,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Subject,1,217,217,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-throttle.test.ts
Error,1,45,45,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-try_catch.test.ts
Error,1,71,71,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/__tests__/rx-try_catch.test.ts
Observable,1,47,47,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/cast_to_observable.ts
Observable,1,47,47,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/cast_to_observable.ts
Observable,1,154,154,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/event_emitter.ts
Observable,1,154,154,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/event_emitter.ts
_Headers,1,80,80,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/request/fetch.ts
Observable,1,211,211,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/request/xhr.ts
Observable,1,211,211,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/request/xhr.ts
XMLHttpRequest,1,216,216,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/request/xhr.ts
RequestError,1,241,241,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/request/xhr.ts
RequestError,1,245,245,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/request/xhr.ts
RequestError,1,282,282,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/request/xhr.ts
RequestError,1,298,298,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/request/xhr.ts
Observable,1,55,55,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/rx-throttle.ts
Observable,1,55,55,/Users/stefanosathanasoulias/thesis-projects-container/projects/rx-player-master/src/utils/rx-throttle.ts
