Alias or name used,Line start,Line end,Filename,Nested Operators,Pipe is nested to,Initializing Pipeline
Pipe,26,26,websocket.server.helper.ts,"[""tap"",""tap"",""mapTo""]",Nested in pipe of lines 24 to 36,of
Pipe,31,31,websocket.server.helper.ts,"[""tap"",""tap"",""mapTo""]",Nested in pipe of lines 24 to 36,of
Pipe,50,53,websocket.server.helper.ts,"[""takeUntil"",""timeout"",""mapTo"",""tap"",""map"",""catchError""]",,Random function
Pipe as argument,undefined,undefined,websocket.server.listener.ts,[],Nested in object or function,
Pipe as argument,undefined,undefined,websocket.server.listener.ts,[],Nested in object or function,
Pipe as argument,68,68,websocket.server.listener.ts,"[""map""]",Nested in object or function,Random function
Pipe as argument,69,69,websocket.server.listener.ts,"[""map""]",Nested in object or function,Random function
Pipe as argument,71,71,websocket.server.listener.ts,"[""catchError""]",Nested in object or function,Random function
Pipe as argument,78,78,websocket.server.listener.ts,"[""map""]",Nested in object or function,Random function
Pipe as argument,81,81,websocket.server.listener.ts,"[""map""]",Nested in object or function,Random function
Pipe as argument,82,82,websocket.server.listener.ts,"[""catchError""]",Nested in object or function,Random function
Pipe as argument,98,98,websocket.server.listener.ts,"[""takeUntil""]",Nested in object or function,Random function
Pipe as argument,116,116,websocket.server.listener.ts,"[""takeUntil""]",Nested in object or function,Random function
Pipe as argument,45,45,websocket.server.ts,"[""map""]",Nested in object or function,Random function
Pipe as argument,73,73,websocket.server.ts,"[""takeWhile""]",Nested in object or function,Random function
